id,name,level,difficulty,tags
13884,斷劍の獄,IN Lv.15,15.2,底力+爆发
13885,Meltdown,IN Lv.13,13.600002,-
13918,再次与你同行,Bear.10,13.6,纵连
13920,ぱつぱらっぱ·ぴよよ～～んTEA,IN Lv.15,15.500002,变速+定轨
1394,ただ声一つ,IN Lv.13,13.0,定轨
13961,Fading Sky,IN Lv.14,14.3,楼梯
13962,Waterfalls,EX Lv. 14,14.900001,-
13967,enchanted love,IN Lv.13,13.500002,-
13969,CENSORED!!,IN Lv.15,15.600005,多押+楼梯
13986,Save Me,IN Lv.13,13.0,楼梯
13989,ただ声一つ,IN  Lv.13,13.0,-
140,Keep Going,FM,13.200001,多押+楼梯+纵连
1402,R.I.P.,IN Lv.15,15.0,多押+定轨
14034,ふわり,AT Lv.14,15.099999,多押+32分
14050,月虹蝶,IN Lv.14,14.500002,32分
14105,Realise,IN Lv.14,14.900001,楼梯+纵连
14133,ナイト・オブ・ナイツ,IN Lv.15,15.3,-
14141,Avantgarde,AT Lv.16,16.000029,底力+爆发+变速+耐力+叠键+位移+定轨
14143,「僕は…」,IN lv.14,14.200001,32分
14172,SolarOrbit-Connected with the Espabrother-,IN  Lv.15,15.500001,底力+爆发+高BPM+位移
14191,BLACK SWAN,IN Lv.15,15.200001,-
14192,VorpΛlize,AT  Lv.17,17.0,底力+多押+32分+变速+耐力+高BPM+位移+定轨
14203,パリピフラン,IN Lv.14,14.900003,-
14273,Thriving dawn,IN,13.800001,-
14286,Change (feat. Zach Callison) (From: Steven Universe),IN Lv.11,11.000004,楼梯
14288,GALACTIC WARZONE,EZ Lv.7,6.9999976,纵连
14289,Unlimated image world,SP Lv.14,14.900006,位移+定轨
14291,三重爱恋,Erotomanic Lv.14,14.200001,32分
14311,Shinonome,IN Lv.15,15.0,32分+位移
1432,Alteregoism,AT Lv.16,16.800003,底力+多押+32分+变速+耐力+高BPM+叠键+位移+定轨
14322,Aoharu Band Arrange,IN Lv.13,13.6,爆发
14347,不眠之夜,IN Lv.12,12.800003,32分
14349,うまぴょい伝説/,IN Lv.14,14.600002,-
14357,The Nightfall will be Conceal Everything Before Long.,IN Lv.15,15.700003,爆发+位移+定轨
14380,Bunny Bunny Carrot Carrot,IN Lv.15,15.400002,-
14383,Only Lonely,IN Lv.13,13.600002,-
14400,不眠之夜 WHITE NIGHT,IN Lv.13,13.900003,-
14409,ぱっぱらっぱ·ぴよよ～～んTEA,IN lv.15,15.300001,多押+32分+变速+位移
14410,夏野与暗恋,IN Lv.13,13.200001,-
14429,Villain Virus,IN Lv.15,15.900003,32分+变速+耐力+高BPM+位移
14433,Eternal Twilight,♡ Lv.12,12.2,-
14438,Realms,IN Lv.14,14.0,爆发+纵连
14449,不眠之夜,IN Lv.13,13.400002,-
14451,B.B.K.K.B.K.K.,IN Lv.14,14.0,-
14454,INTERNET YAMERO,AT Lv.16,16.2,32分+变速+耐力+纵连+叠键+位移+定轨
14458,新•轮回尘世,AT Lv.14,14.400002,-
14480,≠ (Over Limit),AT Lv.16,16.800003,底力+多押+楼梯+32分+变速+耐力+高BPM+纵连+叠键+位移+定轨
14483,オーバーライド (Override),IN,15.7,-
14485,不眠之夜,IN Lv.14,14.0,-
14488,Are You Lost,The Lost Self `12,12.300001,-
1449,Sterelogue,IN Lv.14,14.200001,-
14504,Trojan,SP Lv.?,10.0,叠键
14505,WHITE NIGHT,IN Lv.13,13.500002,32分
1454,Masquerade,IN Lv.13,13.800003,-
14550,恋のうた,IN 14,14.099998,-
14553,Color your night,Night Lv.5,5.1,-
14569,新幹線でひたすら後ろの子供に席蹴られるリ,IN Lv.14,14.400002,定轨
14572,Kick Back (Tv Size),IN Lv.13,13.499998,纵连
14573,Inverted World,AT Lv.15,15.7,底力+爆发+耐力+纵连+位移
14600,How To Make 音ゲ～曲！,IN Lv.15,15.300001,底力+爆发+耐力+纵连
14602,星降る夜と一輪の花,IN Lv.14,14.2,-
14607,Re: End of a Dream,IN Lv.16,16.400002,底力+多押+变速+耐力+高BPM+位移
14618,GOD STRIKE,IN Lv.15,15.200001,爆发+耐力+纵连
14621,芒种,IN Lv.14,14.800003,楼梯
14622,多分、風,IN Lv.14,14.900002,32分+耐力
14624,ふわり,IN Lv.14,13.999992,多押+楼梯+32分
14649,ニニ,IN Lv.14,14.300001,32分
14688,Fly Again,IN Lv.15,15.200001,-
